name,aliases,country,province,lat,lon,Route,URL
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,The Nose,https://www.mountainproject.com/route/105924807/the-nose
1. Northwest Face,D. Half Dome|Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.74685,-119.5336,Regular Northwest Face of Half Dome (RNWF),https://www.mountainproject.com/route/105912416/regular-northwest-face-of-half-dome-rnwf
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,Salathé Wall,https://www.mountainproject.com/route/106154042/salathe-wall
Ancient Art,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.72161,-109.30434,Stolen Chimney,https://www.mountainproject.com/route/105717310/stolen-chimney
Moonlight Buttress,Zion National Park|Southwest Utah|Utah,United States,Utah,37.27785,-112.94955,The Moonlight Buttress (Clean Aid),https://www.mountainproject.com/route/105717718/the-moonlight-buttress-clean-aid
Grand Wall Area,Stawamus Chief|Squamish|British Columbia|North America|International,Canada,British Columbia,49.68218,-123.14798,The Grand Wall,https://www.mountainproject.com/route/105806397/the-grand-wall
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,Zodiac,https://www.mountainproject.com/route/106152347/zodiac
Cynical Pinnacle,Cathedral Spires Area|South Platte|Colorado,United States,Colorado,39.42059,-105.25164,Wunsch's Dihedral,https://www.mountainproject.com/route/105752347/wunschs-dihedral
Moses,Taylor Canyon|Island In The Sky|San Juan County|Southeast Utah|Utah,United States,Utah,38.47567,-109.91054,Primrose Dihedrals,https://www.mountainproject.com/route/105717748/primrose-dihedrals
Central Royal Arches,Royal Arches|H. Royal Arches Area|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.74724,-119.57128,Royal Arches (5.10- or 5.7 A0),https://www.mountainproject.com/route/105862881/royal-arches-510-or-57-a0
Miscellaneous Castlewood Boulder problems,Bouldering problems|Castlewood Canyon SP|Denver South|Colorado,United States,Colorado,39.31677,-104.73933,Little Devil,https://www.mountainproject.com/route/105758724/little-devil
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,Lurking Fear,https://www.mountainproject.com/route/106110258/lurking-fear
Lost Arrow Spire,E. Yosemite Falls Area|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.75604,-119.5941,Lost Arrow Tip,https://www.mountainproject.com/route/105912192/lost-arrow-tip
Moby Grape Area,*Cannon Cliff|New Hampshire,United States,New Hampshire,44.15838,-71.6846,Vertigo,https://www.mountainproject.com/route/105888753/vertigo
(s) Monkey Face,Smith Rock|Central Oregon|Oregon,United States,Oregon,44.37053,-121.14363,Pioneer Route,https://www.mountainproject.com/route/105791058/pioneer-route
Desert Shield Buttress,Zion National Park|Southwest Utah|Utah,United States,Utah,37.27624,-112.94516,Desert Shield,https://www.mountainproject.com/route/105717934/desert-shield
6. Middle Cathedral Rock,P. Cathedral Area|Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.7165,-119.6363,East Buttress,https://www.mountainproject.com/route/105915125/east-buttress
Leaning Tower,Q. Leaning Tower Area|Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.71281,-119.64769,West Face,https://www.mountainproject.com/route/106187777/west-face
Cerberus Gendarme,Zion National Park|Southwest Utah|Utah,United States,Utah,37.27435,-112.94437,Touchstone Wall,https://www.mountainproject.com/route/105717787/touchstone-wall
Liberty Bell,Liberty Bell Group|Washington Pass|North Cascades|Hwy 20 and North Cascades National Park|Northwest Region|Washington,United States,Washington,48.51548,-120.65874,Liberty Crack,https://www.mountainproject.com/route/106512297/liberty-crack
I. Washington Column,Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.74778,-119.559,South Face,https://www.mountainproject.com/route/105847471/south-face
Cochise Dome (What's My Line Dome),East Stronghold|Cochise Stronghold|Southern Arizona|Arizona,United States,Arizona,31.929,-109.98167,What's My Line?,https://www.mountainproject.com/route/105738371/whats-my-line
The Priest,Castle Valley|Grand County|Southeast Utah|Utah,United States,Utah,38.6588,-109.3691,Honeymoon Chimney,https://www.mountainproject.com/route/105717292/honeymoon-chimney
The Titan,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.71745,-109.29955,Finger of Fate,https://www.mountainproject.com/route/105717568/finger-of-fate
Leaning Wall,Zion National Park|Southwest Utah|Utah,United States,Utah,37.27874,-112.94358,Spaceshot,https://www.mountainproject.com/route/105717829/spaceshot
I. Washington Column,Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.74778,-119.559,The Prow,https://www.mountainproject.com/route/105911858/the-prow
(s) Monkey Face,Smith Rock|Central Oregon|Oregon,United States,Oregon,44.37053,-121.14363,West Face Variation,https://www.mountainproject.com/route/105792553/west-face-variation
Angel's Landing,Zion National Park|Southwest Utah|Utah,United States,Utah,37.2693,-112.94804,Prodigal Sun,https://www.mountainproject.com/route/105717709/prodigal-sun
Full (or nearly) Wall Routes,(f) Central Wall Area|Upper Town Wall|Index|Skykomish Valley|Central-West Cascades & Seattle|Washington,United States,Washington,47.82384,-121.56581,Lovin' Arms,https://www.mountainproject.com/route/106194690/lovin-arms
Fortress Wall,Northern Gorge|Red River Gorge|Kentucky,United States,Kentucky,37.83768,-83.64701,Where Lizards Dare,https://www.mountainproject.com/route/105919793/where-lizards-dare
North Side,Looking Glass Rock|1. Southern Mountains Region|North Carolina,United States,North Carolina,35.30546,-82.79093,Creatures of Waste,https://www.mountainproject.com/route/106831306/creatures-of-waste
North Side,Looking Glass Rock|1. Southern Mountains Region|North Carolina,United States,North Carolina,35.30546,-82.79093,Invisible Airways,https://www.mountainproject.com/route/106451575/invisible-airways
Eagle Wall,Oak Creek Canyon|Red Rocks|Southern Nevada|Nevada,United States,Nevada,36.10438,-115.49498,Eagle Dance,https://www.mountainproject.com/route/105732278/eagle-dance
South Early Winters Spire,Liberty Bell Group|Washington Pass|North Cascades|Hwy 20 and North Cascades National Park|Northwest Region|Washington,United States,Washington,48.51216,-120.65513,Direct East Buttress,https://www.mountainproject.com/route/106883451/direct-east-buttress
Kingfisher,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.72273,-109.30259,Colorado Northeast Ridge,https://www.mountainproject.com/route/105717304/colorado-northeast-ridge
Moonlight Buttress,Zion National Park|Southwest Utah|Utah,United States,Utah,37.27785,-112.94955,Lunar Ecstasy,https://www.mountainproject.com/route/105717862/lunar-ecstasy
Redgarden - Roof Routes,Redgarden Wall|Eldorado Canyon State Park|Boulder|Colorado,United States,Colorado,39.93112,-105.2846,Evangeline,https://www.mountainproject.com/route/105763740/evangeline
The Three Gossips,Arches National Park|Grand County|Southeast Utah|Utah,United States,Utah,38.63587,-109.60375,West Face,https://www.mountainproject.com/route/105717538/west-face
Steinfell's Dome,City of Rocks|South Idaho|Idaho,United States,Idaho,42.09646,-113.6867,Sinocranium,https://www.mountainproject.com/route/105740942/sinocranium
South Six-shooter Peak,Indian Creek|San Juan County|Southeast Utah|Utah,United States,Utah,38.12093,-109.65158,South Face,https://www.mountainproject.com/route/105717562/south-face
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,The Shield,https://www.mountainproject.com/route/107429493/the-shield
Kissing Couple,Kissing Couple area|Colorado National Monument|Grand Junction Area|Colorado,United States,Colorado,39.08928,-108.71813,Long Dong Wall (aka Bell Tower),https://www.mountainproject.com/route/105750316/long-dong-wall-aka-bell-tower
Aeolian Wall,Mount Wilson|Red Rocks|Southern Nevada|Nevada,United States,Nevada,36.09485,-115.48188,Resolution Arete,https://www.mountainproject.com/route/105732416/resolution-arete
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,Triple Direct,https://www.mountainproject.com/route/106141505/triple-direct
Lookout Mountain Crag,Lookout Mountain Road|Golden|Colorado,United States,Colorado,39.74899,-105.24258,"5.10 Crack aka ""Thin Fingers""",https://www.mountainproject.com/route/105759501/510-crack-aka-thin-fingers
Tower of Babel,Arches National Park|Grand County|Southeast Utah|Utah,United States,Utah,38.64101,-109.60209,Zenyatta Entrada,https://www.mountainproject.com/route/105717340/zenyatta-entrada
Pigeon Spire,Bugaboos|Columbia-Shushwap|British Columbia|North America|International,Canada,British Columbia,50.7189,-116.785,Toilet Seat,https://www.mountainproject.com/route/113551862/toilet-seat
Echo Pinnacle,Tusher Canyon|Grand County|Southeast Utah|Utah,United States,Utah,38.68334,-109.7511,Free Window Route,https://www.mountainproject.com/route/105717961/free-window-route
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,Mescalito,https://www.mountainproject.com/route/105996954/mescalito
Mexican Hat,Valley of the Gods|San Juan County|Southeast Utah|Utah,United States,Utah,37.17362,-109.84891,Bandito Route,https://www.mountainproject.com/route/105717295/bandito-route
Red Corner,Lower Buckhorn|Buckhorn Wash|San Rafael Swell - North|San Rafael Swell|South Central Utah|Utah,United States,Utah,39.08824,-110.66844,James Tower AKA The Lightbulb,https://www.mountainproject.com/route/105717814/james-tower-aka-the-lightbulb
The Pickle,Arches National Park|Grand County|Southeast Utah|Utah,United States,Utah,38.61375,-109.60839,Standard Route,https://www.mountainproject.com/route/105920520/standard-route
Isaac,Zion National Park|Southwest Utah|Utah,United States,Utah,37.245,-112.97351,Tricks of the Trade,https://www.mountainproject.com/route/105717898/tricks-of-the-trade
Lost Arrow Spire,E. Yosemite Falls Area|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.75604,-119.5941,Lost Arrow Spire Direct,https://www.mountainproject.com/route/107313025/lost-arrow-spire-direct
The King Wall,Chapel Pond Pass|Adirondacks|New York,United States,New York,44.13223,-73.74423,Kingdom Come,https://www.mountainproject.com/route/105983183/kingdom-come
Devil's Golf Ball (AKA The Bulbous Head),Arches National Park|Grand County|Southeast Utah|Utah,United States,Utah,38.69789,-109.54871,Regular Route,https://www.mountainproject.com/route/105957287/regular-route
Family Wall,Rumbling Bald|1. Southern Mountains Region|North Carolina,United States,North Carolina,35.44962,-82.21513,Family Feud,https://www.mountainproject.com/route/108016244/family-feud
Lotus Flower Tower,The Cirque of the Unclimbables|Northwest Territories|North America|International,Canada,Northwest Territories,62.11323,-127.69585,Southeast Face,https://www.mountainproject.com/route/105905655/southeast-face
5. Ribbon Falls Amphitheater,A. Ribbon Falls Area|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73456,-119.64807,The Silent Line,https://www.mountainproject.com/route/106770458/the-silent-line
Lone Pine Peak,14 - Whitney & Surrounding Peaks|High Sierra|California,United States,California,36.5616,-118.2251,Bastille Buttress - Beckey Route,https://www.mountainproject.com/route/107113920/bastille-buttress-beckey-route
Lincoln Lake Slabs,Mt. Blue Sky (formerly Mt. Evans)|Alpine Rock|Colorado,United States,Colorado,39.6178,-105.6056,Jabba,https://www.mountainproject.com/route/108039637/jabba
Ao. This and That Cliff,Lower Merced River Canyon|Yosemite Valley|Yosemite National Park|California,United States,California,37.72521,-119.7068,Tips,https://www.mountainproject.com/route/105988033/tips
I. Washington Column,Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.74778,-119.559,Skull Queen,https://www.mountainproject.com/route/105863412/skull-queen
Redgarden - Roof Routes,Redgarden Wall|Eldorado Canyon State Park|Boulder|Colorado,United States,Colorado,39.93112,-105.2846,Hands In The Clouds,https://www.mountainproject.com/route/105749944/hands-in-the-clouds
Robbins Boulder,Mount Woodson|North San Diego County|San Diego County|California,United States,California,33.0056,-116.96588,Lie Detector,https://www.mountainproject.com/route/105792322/lie-detector
Tantalus Wall,Stawamus Chief|Squamish|British Columbia|North America|International,Canada,British Columbia,49.6797,-123.1503,Milk Road,https://www.mountainproject.com/route/106999446/milk-road
Happy Turk Hoodoo,Kane Springs Canyon|Grand County|Southeast Utah|Utah,United States,Utah,38.48266,-109.60131,The Happy Turk,https://www.mountainproject.com/route/105717496/the-happy-turk
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,Muir Wall,https://www.mountainproject.com/route/105924815/muir-wall
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,Tangerine Trip,https://www.mountainproject.com/route/106096762/tangerine-trip
Monument Canyon,Colorado National Monument|Grand Junction Area|Colorado,United States,Colorado,39.10162,-108.72271,Desert Solitaire,https://www.mountainproject.com/route/105761865/desert-solitaire
Echo Tower,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.72039,-109.30098,Phantom Sprint,https://www.mountainproject.com/route/105717916/phantom-sprint
Haagenschlong Tower,Lower Buckhorn|Buckhorn Wash|San Rafael Swell - North|San Rafael Swell|South Central Utah|Utah,United States,Utah,39.10868,-110.67378,Haagenschlong,https://www.mountainproject.com/route/106053834/haagenschlong
Hear My Train A Comin' Boulder,Mount Woodson|North San Diego County|San Diego County|California,United States,California,33.00639,-116.96139,Hear My Train A Comin',https://www.mountainproject.com/route/105791615/hear-my-train-a-comin
Mount Moran,Grand Teton National Park|Wyoming,United States,Wyoming,43.835,-110.776,Direct South Buttress,https://www.mountainproject.com/route/106204685/direct-south-buttress
The Hindu,Onion Creek|Grand County|Southeast Utah|Utah,United States,Utah,38.70514,-109.31518,Maverick,https://www.mountainproject.com/route/105717298/maverick
F. Liberty Cap,Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.7275,-119.53364,Southwest Face,https://www.mountainproject.com/route/106077489/southwest-face
The Grocery Store Walls,Castlewood Canyon SP|Denver South|Colorado,United States,Colorado,39.35285,-104.76871,The Cornucopia,https://www.mountainproject.com/route/117238841/the-cornucopia
Grand Wall Area,Stawamus Chief|Squamish|British Columbia|North America|International,Canada,British Columbia,49.68218,-123.14798,University Wall,https://www.mountainproject.com/route/106509963/university-wall
Moonlight Buttress,Zion National Park|Southwest Utah|Utah,United States,Utah,37.27785,-112.94955,Sheer Lunacy,https://www.mountainproject.com/route/105718489/sheer-lunacy
The Organ,Zion National Park|Southwest Utah|Utah,United States,Utah,37.27099,-112.94334,Organasm,https://www.mountainproject.com/route/105717721/organasm
Full (or nearly) Wall Routes,(f) Central Wall Area|Upper Town Wall|Index|Skykomish Valley|Central-West Cascades & Seattle|Washington,United States,Washington,47.82384,-121.56581,Town Crier,https://www.mountainproject.com/route/106857410/town-crier
Parriot Mesa,Castle Valley|Grand County|Southeast Utah|Utah,United States,Utah,38.6727,-109.40484,Longbow Chimney,https://www.mountainproject.com/route/105834098/longbow-chimney
(s) Monkey Face,Smith Rock|Central Oregon|Oregon,United States,Oregon,44.37053,-121.14363,West Face (Aid),https://www.mountainproject.com/route/105824076/west-face-aid
North Chasm View Wall,North Rim Routes|Black Canyon of the Gunnison|Gunnison|Colorado,United States,Colorado,38.582,-107.70883,The Hallucinogen Wall,https://www.mountainproject.com/route/105754990/the-hallucinogen-wall
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,North America Wall,https://www.mountainproject.com/route/106312050/north-america-wall
The Outpatient Clinic,Cave Springs|Oak Creek Canyon|Northern Arizona|Arizona,United States,Arizona,35.00046,-111.74111,Synethesia  AKA Linger Fickin Good!,https://www.mountainproject.com/route/105822828/synethesia-aka-linger-fickin-good
The Mordor Wall,*Cathedral Ledge|New Hampshire,United States,New Hampshire,44.0636,-71.16568,The Mordor Wall,https://www.mountainproject.com/route/105940844/the-mordor-wall
Coalpit Buttress,Little Cottonwood Canyon|Central Wasatch|Wasatch Range|Utah,United States,Utah,40.56849,-111.73616,House of Cards,https://www.mountainproject.com/route/106226461/house-of-cards
The Cirque of the Climbables,Kane Springs Canyon|Grand County|Southeast Utah|Utah,United States,Utah,38.52926,-109.59424,Playing Hooky,https://www.mountainproject.com/route/105906545/playing-hooky
Mt. Huntington,Ruth Gorge|Denali National Park|Interior Alaska/Alaska Range|Alaska,United States,Alaska,62.96769,-150.89639,The Harvard Route,https://www.mountainproject.com/route/109587381/the-harvard-route
Sheep Rock,Arches National Park|Grand County|Southeast Utah|Utah,United States,Utah,38.63941,-109.60655,Virgin Wool,https://www.mountainproject.com/route/105926324/virgin-wool
N. Mount Watkins,Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.78289,-119.51727,South Face,https://www.mountainproject.com/route/110179339/south-face
King Tut Boulder,Housekeeping|* Yosemite Valley Bouldering|Yosemite Valley|Yosemite National Park|California,United States,California,37.73969,-119.57921,Kor Practice Aid Ladder,https://www.mountainproject.com/route/107927245/kor-practice-aid-ladder
Temple of Sinawava,Zion National Park|Southwest Utah|Utah,United States,Utah,37.28494,-112.94922,The Pulpit - 1967 Route,https://www.mountainproject.com/route/105718381/the-pulpit-1967-route
"Winter-Spring (ice, snow, mixed)",Snoqualmie Mountain|Snoqualmie Pass Area|Central-West Cascades & Seattle|Washington,United States,Washington,47.45905,-121.41782,New York Gully,https://www.mountainproject.com/route/107493225/new-york-gully
North Howser Tower,Howser Towers|Bugaboos|Columbia-Shushwap|British Columbia|North America|International,Canada,British Columbia,50.73041,-116.81367,All Along the Watchtower,https://www.mountainproject.com/route/105960981/all-along-the-watchtower
G. Church Bowl,Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.74908,-119.58015,More Balls Than Brains,https://www.mountainproject.com/route/106936381/more-balls-than-brains
Leaning Tower,Q. Leaning Tower Area|Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.71281,-119.64769,Wet Denim Daydream,https://www.mountainproject.com/route/106627547/wet-denim-daydream
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,Zenyatta Mondatta,https://www.mountainproject.com/route/106150461/zenyatta-mondatta
Peeler Face,Black Peeler Buttress|Little Cottonwood Canyon|Central Wasatch|Wasatch Range|Utah,United States,Utah,40.5741,-111.7479,Peeler Direct,https://www.mountainproject.com/route/105882489/peeler-direct
Trisstin's Tower,Lockhart Basin|San Juan County|Southeast Utah|Utah,United States,Utah,38.2948,-109.62329,Regular Route,https://www.mountainproject.com/route/105717976/regular-route
Mount Whitney,14 - Whitney & Surrounding Peaks|High Sierra|California,United States,California,36.57844,-118.29228,Hairline,https://www.mountainproject.com/route/113531340/hairline
The Great Wall,West Sedona|Sedona Area|Northern Arizona|Arizona,United States,Arizona,34.93222,-111.781,The Great Dihedral,https://www.mountainproject.com/route/110552872/the-great-dihedral
Mt Hunter,Denali National Park|Interior Alaska/Alaska Range|Alaska,United States,Alaska,63.0649,-151.17191,The Moonflower Buttress (Bibler/Klewin),https://www.mountainproject.com/route/108486270/the-moonflower-buttress-biblerklewin
The Titan,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.71745,-109.29955,Sundevil Chimney,https://www.mountainproject.com/route/105717388/sundevil-chimney
South Whizz Dome,Whizz Domes|Tuolumne Meadows|Yosemite National Park|California,United States,California,37.86966,-119.43991,Blackout (direct start),https://www.mountainproject.com/route/105995288/blackout-direct-start
Northern Section,Squire Creek Wall|Darrington|Darrington and Mountain Loop Hwy|Northwest Region|Washington,United States,Washington,48.20207,-121.64222,Slab Daddy,https://www.mountainproject.com/route/112166775/slab-daddy
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,South Seas,https://www.mountainproject.com/route/112196417/south-seas
Whitney Portal Buttress,Whitney Portal|Lone Pine Area|Eastern Sierra|California,United States,California,36.59094,-118.24089,Gangway,https://www.mountainproject.com/route/105928131/gangway
Tantalus Wall,Stawamus Chief|Squamish|British Columbia|North America|International,Canada,British Columbia,49.6797,-123.1503,Milk Run,https://www.mountainproject.com/route/106547079/milk-run
Castle Rock Spire,Castle Rocks|Sequoia & Kings Canyon NP|California,United States,California,36.50861,-118.71848,The Regular Route (Castle Rock Spire),https://www.mountainproject.com/route/106501642/the-regular-route-castle-rock-spire
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,Tribal Rite,https://www.mountainproject.com/route/112555626/tribal-rite
Upper Division Wall,American Fork Canyon|Southern Wasatch|Wasatch Range|Utah,United States,Utah,40.44981,-111.66764,Tick the Brick,https://www.mountainproject.com/route/120980486/tick-the-brick
The Oracle,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.72085,-109.29684,Fantasia,https://www.mountainproject.com/route/105917588/fantasia
The Oracle,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.72085,-109.29684,Beaking In Tongues,https://www.mountainproject.com/route/106090916/beaking-in-tongues
The Streaked Wall,Zion National Park|Southwest Utah|Utah,United States,Utah,37.22471,-112.98535,Tale of the Scorpion,https://www.mountainproject.com/route/105986438/tale-of-the-scorpion
The Mouth (of the Clark's Fork),Clarks Fork Canyon|Absaroka Range|Wyoming,United States,Wyoming,44.8541,-109.30205,M11,https://www.mountainproject.com/route/121550581/m11
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,Sunkist,https://www.mountainproject.com/route/120725764/sunkist
Texas Tower,Texas Canyon|Blanding|San Juan County|Southeast Utah|Utah,United States,Utah,37.60885,-109.7838,East Face of Texas Tower,https://www.mountainproject.com/route/105717865/east-face-of-texas-tower
Mt. Temple,Valley of the Ten Peaks|Banff National Park|Alberta|North America|International,Canada,Alberta,51.3512,-116.2058,Greenwood-Locke,https://www.mountainproject.com/route/106997577/greenwood-locke
Warrior Tower,Long Canyon|Potash Road|Southeast Utah|Utah,United States,Utah,38.5388,-109.677,Happy Hunting Grounds,https://www.mountainproject.com/route/106604527/happy-hunting-grounds
Ancient Art,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.72161,-109.30434,The Hippie Route (North Summit),https://www.mountainproject.com/route/114118632/the-hippie-route-north-summit
Willow River State Park,Northwest|Wisconsin,United States,Wisconsin,45.0196,-92.67417,Bolt Ladder to Upper Deck,https://www.mountainproject.com/route/106975241/bolt-ladder-to-upper-deck
L.  The Chapel Wall,Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.738,-119.59215,Controlled Burn,https://www.mountainproject.com/route/106695901/controlled-burn
Anasazi Buttress,River Road|Grand County|Southeast Utah|Utah,United States,Utah,38.60855,-109.53608,Artist Tears,https://www.mountainproject.com/route/105888954/artist-tears
The Mouth (of the Clark's Fork),Clarks Fork Canyon|Absaroka Range|Wyoming,United States,Wyoming,44.8541,-109.30205,Forever,https://www.mountainproject.com/route/121276377/forever
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,Magic Mushroom,https://www.mountainproject.com/route/108716114/magic-mushroom
2. Southwest Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73051,-119.63828,Jolly Roger,https://www.mountainproject.com/route/120858759/jolly-roger
Full (or nearly) Wall Routes,(f) Central Wall Area|Upper Town Wall|Index|Skykomish Valley|Central-West Cascades & Seattle|Washington,United States,Washington,47.82384,-121.56581,The Call of Cthulhu,https://www.mountainproject.com/route/115138922/the-call-of-cthulhu
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,The Shortest Straw,https://www.mountainproject.com/route/107216299/the-shortest-straw
Twin Owls,Lumpy Ridge|Estes Park Valley|Colorado,United States,Colorado,40.4029,-105.5188,Anaconda,https://www.mountainproject.com/route/105763713/anaconda
North Face,Lion's Head|The Selkirk Crest (American)|North Idaho|Idaho,United States,Idaho,48.7861,-116.72039,Circle of Life,https://www.mountainproject.com/route/122867924/circle-of-life
Castle Rock Spire,Castle Rocks|Sequoia & Kings Canyon NP|California,United States,California,36.50861,-118.71848,East Face,https://www.mountainproject.com/route/108255578/east-face
Flathead Buttress,Blodgett Canyon|Missoula Area|Northwest Region|Montana,United States,Montana,46.2798,-114.2885,My Mom's Burnt Cat Memorial,https://www.mountainproject.com/route/111065210/my-moms-burnt-cat-memorial
Leaning Tower,Q. Leaning Tower Area|Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.71281,-119.64769,Westie Face,https://www.mountainproject.com/route/112909493/westie-face
The Rainbow Wall,Juniper Canyon|Red Rocks|Southern Nevada|Nevada,United States,Nevada,36.11139,-115.49615,Desert Solitaire,https://www.mountainproject.com/route/106229689/desert-solitaire
The Diamond,Long's Peak|RMNP - Rock|Alpine Rock|Colorado,United States,Colorado,40.25617,-105.61384,Dunn Westbay,https://www.mountainproject.com/route/105757201/dunn-westbay
Sunday  Afternoon Boulder,Mount Woodson|North San Diego County|San Diego County|California,United States,California,33.00626,-116.96108,Sunday  Afternoon Boulder | 1605,https://www.mountainproject.com/route/105791605/sunday-afternoon-boulder-1605
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,Pacific Ocean Wall,https://www.mountainproject.com/route/122154623/pacific-ocean-wall
3. Southeast Face,B. El Capitan|Valley North Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.72954,-119.63438,Scorched Earth,https://www.mountainproject.com/route/107093819/scorched-earth
Leaning Tower,Q. Leaning Tower Area|Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.71281,-119.64769,Roulette,https://www.mountainproject.com/route/118190405/roulette
Ship Rock,Ship Rock Area|New Mexico Navajolands|New Mexico,United States,New Mexico,36.6877,-108.8368,Regular Route,https://www.mountainproject.com/route/106139667/regular-route
North Side,Looking Glass Rock|1. Southern Mountains Region|North Carolina,United States,North Carolina,35.30546,-82.79093,Scott Fischer Memorial,https://www.mountainproject.com/route/112356845/scott-fischer-memorial
4. Lower Cathedral Spire,P. Cathedral Area|Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.7147,-119.63078,Regular Route,https://www.mountainproject.com/route/105915825/regular-route
Cap Trinité,02. Saguenay-Lac-St-Jean|Quebec|North America|International,Canada,Quebec,48.30087,-70.33579,Fox Victor India (aka Pilote d'Essai),https://www.mountainproject.com/route/108579037/fox-victor-india-aka-pilote-dessai
Shield,Juan Tabo Canyon|Sandia Mountains|Albuquerque Area|New Mexico,United States,New Mexico,35.23568,-106.46289,Purple Haze,https://www.mountainproject.com/route/107593147/purple-haze
Block Top Tower,Island In The Sky|San Juan County|Southeast Utah|Utah,United States,Utah,38.36393,-109.85204,Block Top,https://www.mountainproject.com/route/106151030/block-top
Quarry Wall,El Cajon Mountain|South San Diego County|San Diego County|California,United States,California,32.89269,-116.82453,The Follow Problem,https://www.mountainproject.com/route/117008483/the-follow-problem
5. South Face,D. Half Dome|Valley South Side|Yosemite Valley|Yosemite National Park|California,United States,California,37.73964,-119.53518,The Xue Way,https://www.mountainproject.com/route/120947867/the-xue-way
The Netherworld,Fisher Towers|Grand County|Southeast Utah|Utah,United States,Utah,38.71957,-109.29464,Hydraform Ridge,https://www.mountainproject.com/route/110529478/hydraform-ridge
Main Face,West Face|Machete Ridge|West Side|Pinnacles National Park|Central Coast|California,United States,California,36.49775,-121.20224,Son of Dawn Wall,https://www.mountainproject.com/route/106224254/son-of-dawn-wall
Dolomite Spire,River Road|Grand County|Southeast Utah|Utah,United States,Utah,38.64866,-109.47141,Kor Route,https://www.mountainproject.com/route/105718717/kor-route
